source,dataset,type,task,n_train,n_test,accuracy,f1_macro,score,elapsed_s
pipeline,1049_pc4,Tab,classification,1166.0,292.0,,0.7935,0.7935,173.4
pipeline,1050_pc3,Tab,classification,1250.0,313.0,,0.6309,0.6309,317.6
pipeline,1053_jm1,Tab,classification,8708.0,2177.0,,0.6445,0.6445,1525.2
pipeline,1063_kc2,Tab,classification,417.0,105.0,,0.6842,0.6842,333.3
pipeline,1067_kc1,Tab,classification,1687.0,422.0,,0.7127,0.7127,335.9
pipeline,CLS_ACSF1,TS,classification,160.0,40.0,,0.775,0.775,2289.1
pipeline,CLS_Adiac,TS,classification,624.0,157.0,,0.7877,0.7877,6506.3
pipeline,CLS_AllGestureWiimoteX,TS,classification,800.0,200.0,,0.7315,0.7315,1786.7
pipeline,CLS_AllGestureWiimoteY,TS,classification,800.0,200.0,,0.7246,0.7246,2326.5
pipeline,CLS_AllGestureWiimoteZ,TS,classification,800.0,200.0,,0.657,0.657,1755.0
baseline,1049_pc4,Tab,classification,1166.0,292.0,0.9041,0.6696,0.6696,21.0
baseline,1050_pc3,Tab,classification,1250.0,313.0,0.8978,0.5917,0.5917,6.2
baseline,1053_jm1,Tab,classification,8708.0,2177.0,0.8172,0.5711,0.5711,19.7
baseline,1063_kc2,Tab,classification,417.0,105.0,0.8095,0.6491,0.6491,5.2
baseline,1067_kc1,Tab,classification,1687.0,422.0,0.872,0.7039,0.7039,7.6
baseline,CLS_ACSF1,TS,classification,160.0,40.0,0.75,0.7388,0.7388,86.7
baseline,CLS_Adiac,TS,classification,624.0,157.0,0.7643,0.7448,0.7448,256.3
baseline,CLS_AllGestureWiimoteX,TS,classification,800.0,200.0,0.645,0.6354,0.6354,378.1
baseline,CLS_AllGestureWiimoteY,TS,classification,800.0,200.0,0.725,0.7239,0.7239,234.3
baseline,CLS_AllGestureWiimoteZ,TS,classification,800.0,200.0,0.6,0.5972,0.5972,311.7
