source,dataset,type,task,n_train,n_test,accuracy,f1_macro,rmse,r2,score,elapsed_s
pipeline,CLS_ACSF1,TS,classification,100,100,0.8,0.7947,,,0.7947,1552.6
pipeline,REG_AcousticContaminationMadrid_nmv,TS,regression,166,72,,,3.6262,0.6769,3.6262,534.3
baseline,CLS_ACSF1,TS,classification,100,100,0.77,0.7667,,,0.7667,50.0
baseline,REG_AcousticContaminationMadrid_nmv,TS,regression,166,72,,,5.329,0.3022,0.3022,28.4
baseline,1049_pc4,Tab,classification,1166,292,0.9041,0.6696,,,0.6696,19.5
baseline,1067_kc1,Tab,classification,1687,422,0.872,0.7039,,,0.7039,17.2
pipeline,1049_pc4,Tab,classification,1075,269,0.9219,0.8409,,,0.8409,39.3
pipeline,1067_kc1,Tab,classification,969,243,0.6872,0.601,,,0.601,37.0
pipeline,505_tecator,Tab,regression,176,44,,,0.8563,0.9955,0.8563,94.0
baseline,505_tecator,Tab,regression,192,48,,,1.2804,0.9923,0.9923,39.9
