ID,Name,Status
3,kr-vs-kp,Success
6,letter,Success
11,balance-scale,Success
12,mfeat-factors,Success
14,mfeat-fourier,Success
15,breast-w,Success
16,mfeat-karhunen,Success
18,mfeat-morphological,Success
22,mfeat-zernike,Success
23,cmc,Success
28,optdigits,Success
29,credit-approval,Success
31,credit-g,Success
32,pendigits,Success
37,diabetes,Success
44,spambase,Success
46,splice,Success
50,tic-tac-toe,Success
54,vehicle,Success
151,electricity,Success
182,satimage,Success
188,eucalyptus,Success
38,sick,Success
307,vowel,Success
300,isolet,Success
458,analcatdata_authorship,Success
469,analcatdata_dmft,Success
554,mnist_784,Success
1049,pc4,Success
1050,pc3,Success
1053,jm1,Success
1063,kc2,Success
1067,kc1,Success
1068,pc1,Success
1590,adult,Success
4134,Bioresponse,Success
1510,wdbc,Success
1489,phoneme,Success
1494,qsar-biodeg,Success
1497,wall-robot-navigation,Success
1501,semeion,Success
1480,ilpd,Success
1485,madelon,Success
1486,nomao,Success
1487,ozone-level-8hr,Success
1468,cnae-9,Success
1475,first-order-theorem-proving,Success
1462,banknote-authentication,Success
1464,blood-transfusion-service-center,Success
4534,PhishingWebsites,Success
6332,cylinder-bands,Success
1461,bank-marketing,Success
4538,GesturePhaseSegmentationProcessed,Success
1478,har,Success
23381,dresses-sales,Success
40499,texture,Success
40668,connect-4,Success
40966,MiceProtein,Success
40982,steel-plates-fault,Success
40994,climate-model-simulation-crashes,Success
40983,wilt,Success
40975,car,Success
40984,segment,Success
40979,mfeat-pixel,Success
40996,Fashion-MNIST,Success
41027,jungle_chess_2pcs_raw_endgame_complete,Success
23517,numerai28.6,Success
40923,Devnagari-Script,Success
40927,CIFAR_10,Success
40978,Internet-Advertisements,Success
40670,dna,Success
40701,churn,Success
