source,dataset,type,task,n_train,n_test,accuracy,f1_macro,rmse,r2,score,elapsed_s
pipeline,4534_PhishingWebsites,Tab,classification,8844.0,2211.0,0.9692,0.9687,,,0.9687,1462.6
pipeline,4538_GesturePhaseSegmentationProcessed,Tab,classification,7898.0,1975.0,0.7175,0.685,,,0.685,6276.9
pipeline,458_analcatdata_authorship,Tab,classification,672.0,169.0,0.9941,0.9959,,,0.9959,215.5
pipeline,469_analcatdata_dmft,Tab,classification,637.0,160.0,0.2188,0.2047,,,0.2047,167.3
pipeline,46_splice,Tab,classification,2552.0,638.0,0.9624,0.956,,,0.956,1018.2
pipeline,50_tic-tac-toe,Tab,classification,766.0,192.0,1.0,1.0,,,1.0,293.2
pipeline,54_vehicle,Tab,classification,676.0,170.0,0.8529,0.8501,,,0.8501,584.9
pipeline,554_mnist_784,Tab,classification,56000.0,14000.0,0.9916,0.9916,,,0.9916,38888.5
pipeline,6332_cylinder-bands,Tab,classification,432.0,108.0,0.8148,0.8082,,,0.8082,542.1
pipeline,6_letter,Tab,classification,16000.0,4000.0,0.983,0.9829,,,0.9829,34376.1
baseline,4534_PhishingWebsites,Tab,classification,8844.0,2211.0,0.9756,0.9752,,,0.9752,68.0
baseline,4538_GesturePhaseSegmentationProcessed,Tab,classification,7898.0,1975.0,0.717,0.6783,,,0.6783,464.2
baseline,458_analcatdata_authorship,Tab,classification,672.0,169.0,0.9822,0.9863,,,0.9863,22.3
baseline,469_analcatdata_dmft,Tab,classification,528.0,133.0,0.2556,0.236,,,0.236,65.6
baseline,46_splice,Tab,classification,2552.0,638.0,0.9577,0.9498,,,0.9498,127.4
baseline,50_tic-tac-toe,Tab,classification,766.0,192.0,0.9531,0.9471,,,0.9471,42.0
baseline,54_vehicle,Tab,classification,676.0,170.0,0.7529,0.7527,,,0.7527,9.1
baseline,554_mnist_784,Tab,classification,56000.0,14000.0,0.982,0.9819,,,0.9819,1003.9
baseline,6332_cylinder-bands,Tab,classification,432.0,108.0,0.8056,0.8006,,,0.8006,26.8
baseline,6_letter,Tab,classification,16000.0,4000.0,0.977,0.9769,,,0.9769,441.0
baseline,REG_PrecipitationAndalusia_nmv,TS,regression,537.0,135.0,,,0.3255,0.7348,0.7348,1012.4
baseline,REG_SierraNevadaMountainsSnow,TS,regression,400.0,100.0,,,30.312,0.8562,0.8562,471.1
baseline,REG_SodiumConcentration,TS,regression,485.0,122.0,,,121.1617,-6.241,-6.241,446.5
baseline,REG_SolarRadiationAndalusia_nmv,TS,regression,537.0,135.0,,,0.6144,0.3717,0.3717,119.3
baseline,REG_SteamPredictor,TS,regression,240.0,60.0,,,36317.9326,-0.0024,-0.0024,29.7
baseline,REG_SulphurConcentration,TS,regression,508.0,127.0,,,293.8892,-3.1698,-3.1698,483.6
baseline,REG_VentilatorPressure,TS,regression,60360.0,15090.0,,,0.5671,0.9673,0.9673,1005.4
baseline,REG_WaveDataTension,TS,regression,1514.0,379.0,,,14.854,0.3751,0.3751,335.8
baseline,REG_WindTurbinePower,TS,regression,681.0,171.0,,,51.1145,0.997,0.997,614.1
baseline,REG_ZincConcentration,TS,regression,508.0,128.0,,,2.011,0.0578,0.0578,438.0
pipeline_time,REG_PrecipitationAndalusia_nmv,TS,regression,537.0,135.0,,,0.3422,0.707,0.707,8116.2
pipeline_time,REG_SierraNevadaMountainsSnow,TS,regression,400.0,100.0,,,27.1726,0.8845,0.8845,493.4
pipeline_time,REG_SodiumConcentration,TS,regression,485.0,122.0,,,87.4452,-2.7717,-2.7717,5190.3
pipeline_time,REG_SolarRadiationAndalusia_nmv,TS,regression,537.0,135.0,,,0.6394,0.3195,0.3195,4420.1
pipeline_time,REG_SteamPredictor,TS,regression,240.0,60.0,,,34642.6189,0.088,0.088,2561.2
pipeline_time,REG_SulphurConcentration,TS,regression,508.0,127.0,,,145.0683,-0.016,-0.016,4674.7
pipeline_time,REG_WaveDataTension,TS,regression,1514.0,379.0,,,13.9858,0.446,0.446,872.7
pipeline_time,REG_WindTurbinePower,TS,regression,681.0,171.0,,,47.8561,0.9973,0.9973,2295.8
pipeline_time,REG_ZincConcentration,TS,regression,508.0,128.0,,,2.0228,0.0467,0.0467,4442.2
pipeline_time,REG_VentilatorPressure,TS,regression,60360.0,15090.0,,,0.5967,0.9637,0.9637,12770.5
