source,dataset,type,task,n_train,n_test,accuracy,f1_macro,rmse,r2,score,elapsed_s,fast,error
pipeline,CLS_ACSF1,TS,classification,100,100,0.8,0.7947,,,0.7947,1960.7,True,
pipeline,CLS_Adiac,TS,classification,390,391,0.7545,0.7336,,,0.7336,2303.2,True,
pipeline,CLS_AllGestureWiimoteX,TS,classification,300,700,0.5286,0.5335,,,0.5335,2168.3,True,
pipeline,CLS_AllGestureWiimoteY,TS,classification,300,700,0.6457,0.6426,,,0.6426,2158.2,True,
pipeline,CLS_AllGestureWiimoteZ,TS,classification,300,700,0.5729,0.5659,,,0.5659,2054.4,True,
pipeline,REG_AcousticContaminationMadrid_nmv,TS,regression,166,72,,,3.6262,0.6769,3.6262,842.6,True,
pipeline,REG_AluminiumConcentration,TS,regression,440,189,,,232.8417,0.7576,232.8417,2030.7,True,
pipeline,REG_AppliancesEnergy,TS,regression,95,42,,,3.4674,-0.017,3.4674,5174.7,True,
pipeline,REG_AustraliaRainfall,TS,regression,112186,48081,,,8.09,0.1279,8.09,6714.4,True,
baseline,CLS_ACSF1,TS,classification,100,100,0.77,0.7667,,,0.7667,53.4,False,
baseline,CLS_Adiac,TS,classification,390,391,0.6957,0.6785,,,0.6785,395.2,False,
baseline,CLS_AllGestureWiimoteX,TS,classification,300,700,0.44,0.4439,,,0.4439,216.8,False,
baseline,CLS_AllGestureWiimoteY,TS,classification,300,700,0.5371,0.5351,,,0.5351,209.1,False,
baseline,CLS_AllGestureWiimoteZ,TS,classification,300,700,0.4,0.402,,,0.402,142.0,False,
baseline,REG_AcousticContaminationMadrid_nmv,TS,regression,166,72,,,5.329,0.3022,0.3022,17.0,False,
baseline,REG_AluminiumConcentration,TS,regression,440,189,,,217.3956,0.7887,0.7887,375.1,False,
baseline,REG_AppliancesEnergy,TS,regression,95,42,,,3.5158,-0.0455,-0.0455,60.5,False,
baseline,REG_AustraliaRainfall,TS,regression,112186,48081,,,8.1249,0.1204,0.1204,234.2,False,
baseline,1049_pc4,Tab,classification,1166,292,0.9041,0.6696,,,0.6696,148.4,,
baseline,1050_pc3,Tab,classification,1250,313,0.8978,0.5917,,,0.5917,53.6,,
baseline,1053_jm1,Tab,classification,8708,2177,0.8172,0.5711,,,0.5711,46.9,,
baseline,1063_kc2,Tab,classification,417,105,0.8095,0.6491,,,0.6491,19.6,,
baseline,1067_kc1,Tab,classification,1687,422,0.872,0.7039,,,0.7039,26.9,,
baseline,CLS_ACSF1,TS,classification,100,100,0.77,0.7667,,,0.7667,382.2,,
baseline,CLS_Adiac,TS,classification,390,391,0.6957,0.6785,,,0.6785,1534.7,,
